Engine / library median match time (s) by group×size
----------------------------------------------------------------------------------------------------
engine     library         known_bad/sma known_bad/med known_bad/lar generated/sma generated/med generated/lar generated/sma generated/med generated/lar    TO
Rust       Regex                    32us          38us          87us          16us          43us         184us          25us          28us          40us     0
Python     Rure                    4.4ms         4.0ms         4.6ms         3.8ms         4.5ms         5.5ms         4.1ms         3.9ms         4.3ms     0
Python     Re                      3.6ms         3.6ms         4.6ms         2.8ms         3.1ms         3.0ms         2.9ms         2.8ms         3.1ms   136
Python     Regex                   5.1ms         5.2ms         6.9ms         3.6ms         3.7ms         4.0ms         3.3ms         3.3ms         3.5ms    20
Python     Pyre2                   3.9ms         4.1ms         7.0ms         3.0ms         3.8ms         4.8ms         3.1ms         3.0ms         3.2ms    10
TypeScript NativeRegExp           19.5ms        19.5ms        19.5ms        20.9ms        21.0ms        21.0ms        20.9ms        21.1ms        21.3ms   127
TypeScript RE2                    20.2ms        20.3ms        20.3ms        21.4ms        21.5ms        21.5ms        21.5ms        21.6ms        21.8ms     0
TypeScript Regolith               19.6ms        19.6ms        19.7ms        21.1ms        21.2ms        21.2ms        21.2ms        21.3ms        21.5ms     0
C#         RE#                   326.5ms       324.7ms       323.2ms       292.3ms       302.9ms       320.5ms       265.3ms       266.5ms       261.2ms     0
C#         dotnet                 70.9ms        71.1ms        71.9ms        70.6ms        70.7ms        71.7ms        71.0ms        71.2ms        71.6ms   140
